context,question,answer,start_positions,end_positions
"Ымырт ханшайымы ең жақсы көркем дизайн, ең жақсы бастапқы балл және оны GameCube нұсқасы үшін ең жақсы дыбысты қолданған марапаттарға ие болды.IGN және Nintendo Power екеуі де ымырлық ханшайымға ең жақсы графика және ең жақсы әңгіме үшін марапаттар берді.Ыңғы-ғажайып ханшайым GameTrikers-тен жыл мерекесін алды, 1UP.com, электронды ойындар Ай сайын, ойын информері, ойындар радары, гампи, ғарыштық марапаттар, радарлық марапаттар, X-Play және Nintendo Power.Сондай-ақ, «Сыншылар» ойындарынан, X-Play, IGN, GameTrailers, 1UP-тан жасалған ең жақсы приключенье ойындары үшін марапаттар берілді.com және nintendo қуаты.Ойын «Сыншылар сыйлығы мен гамкес» ойыны бойынша жақсы консольдік ойын деп саналды.Ойын 16-шы ресми Nintendo журналында барлық уақыттағы ең үлкен Nintendo ойындарының тізіміне 16-шы рет орналастырылған.IGN ойынды 4-ші үздік WII ойыны ретінде орындады.Nintendo Power ойынды 2000 жылдардағы Nintendo жүйесінде босатылатын үшінші жақсы ойын ретінде орналастырды.",Nintendo-ның барлық уақыттағы ең үлкен 100 Nintendo ойындарының ресми тізімінде ойын қандай орынға ие болды?,16,704,706
"Ымырт ханшайымы ең жақсы көркем дизайн, ең жақсы бастапқы балл және оны GameCube нұсқасы үшін ең жақсы дыбысты қолданған марапаттарға ие болды.IGN және Nintendo Power екеуі де ымырлық ханшайымға ең жақсы графика және ең жақсы әңгіме үшін марапаттар берді.Ыңғы-ғажайып ханшайым GameTrikers-тен жыл мерекесін алды, 1UP.com, электронды ойындар Ай сайын, ойын информері, ойындар радары, гампи, ғарыштық марапаттар, радарлық марапаттар, X-Play және Nintendo Power.Сондай-ақ, «Сыншылар» ойындарынан, X-Play, IGN, GameTrailers, 1UP-тан жасалған ең жақсы приключенье ойындары үшін марапаттар берілді.com және nintendo қуаты.Ойын «Сыншылар сыйлығы мен гамкес» ойыны бойынша жақсы консольдік ойын деп саналды.Ойын 16-шы ресми Nintendo журналында барлық уақыттағы ең үлкен Nintendo ойындарының тізіміне 16-шы рет орналастырылған.IGN ойынды 4-ші үздік WII ойыны ретінде орындады.Nintendo Power ойынды 2000 жылдардағы Nintendo жүйесінде босатылатын үшінші жақсы ойын ретінде орналастырды.",IGN WII консоліне қандай орынға ие болды?,ғұмар,pass,pass
"Африка, Азия, Еуропа және Океанияның көп бөлігін қамтитын Пал облысында ымырлық ханшайымы - Zelda сериясындағы ең көп сатылатын жазба.Алғашқы аптада ойын әр төрт WII сатып алуларының үшеуімен сатылды.Ойын 5 наурыз 2011 ж. 31 наурыздағы жағдай бойынша ВИИ-де 82 миллион дана, ал 2007 жылғы 31 наурыздағы № 32 млн.","Солтүстік, орталық немесе Оңтүстік Америкада орналасқан көптеген елдер кіретін ауданның аты қандай?",Жәрдемақы,pass,pass
"Африка, Азия, Еуропа және Океанияның көп бөлігін қамтитын Пал облысында ымырлық ханшайымы - Zelda сериясындағы ең көп сатылатын жазба.Алғашқы аптада ойын әр төрт WII сатып алуларының үшеуімен сатылды.Ойын 5 наурыз 2011 ж. 31 наурыздағы жағдай бойынша ВИИ-де 82 миллион дана, ал 2007 жылғы 31 наурыздағы № 32 млн.",2011 жылдың наурыз айының соңына дейін ымырт ханшайымының WII нұсқасының қанша бөлігі сатып алынды?,5. 82 млн,pass,pass
"Африка, Азия, Еуропа және Океанияның көп бөлігін қамтитын Пал облысында ымырлық ханшайымы - Zelda сериясындағы ең көп сатылатын жазба.Алғашқы аптада ойын әр төрт WII сатып алуларының үшеуімен сатылды.Ойын 5 наурыз 2011 ж. 31 наурыздағы жағдай бойынша ВИИ-де 82 миллион дана, ал 2007 жылғы 31 наурыздағы № 32 млн.",2007 жылдың наурыз айының соңына дейін ымырт ханшайымының гамекуба нұсқасының қанша бөлігі сатып алынды?,1. 32 млн,pass,pass
"Африка, Азия, Еуропа және Океанияның көп бөлігін қамтитын Пал облысында ымырлық ханшайымы - Zelda сериясындағы ең көп сатылатын жазба.Алғашқы аптада ойын әр төрт WII сатып алуларының үшеуімен сатылды.Ойын 5 наурыз 2011 ж. 31 наурыздағы жағдай бойынша ВИИ-де 82 миллион дана, ал 2007 жылғы 31 наурыздағы № 32 млн.",Ымыртшы ханшайымның қай аймағы ең жақсы зельда кіруі?,PAL аймағы,pass,pass
"Африка, Азия, Еуропа және Океанияның көп бөлігін қамтитын Пал облысында ымырлық ханшайымы - Zelda сериясындағы ең көп сатылатын жазба.Алғашқы аптада ойын әр төрт WII сатып алуларының үшеуімен сатылды.Ойын 5 наурыз 2011 ж. 31 наурыздағы жағдай бойынша ВИИ-де 82 миллион дана, ал 2007 жылғы 31 наурыздағы № 32 млн.",2011 жылдың наурыз айынан бастап ойынның қанша данасы сатылды?,5. 82 млн,pass,pass
"Африка, Азия, Еуропа және Океанияның көп бөлігін қамтитын Пал облысында ымырлық ханшайымы - Zelda сериясындағы ең көп сатылатын жазба.Алғашқы аптада ойын әр төрт WII сатып алуларының үшеуімен сатылды.Ойын 5 наурыз 2011 ж. 31 наурыздағы жағдай бойынша ВИИ-де 82 миллион дана, ал 2007 жылғы 31 наурыздағы № 32 млн.",2007 жылғы наурыздағыдай гамекубада ойынның қанша көшірмесі сатылды?,1. 32 млн,pass,pass
"Жапония-эксклюзивті манга сериялары, Акира Химекава жазған және суреттелген ымырт ханшайымы, 2016 жылдың 8 ақпанында шығарылды. Сериялар тек Shogakukan компаниясының Mangaone Mobile қосымшасы арқылы қол жетімді.Манга бейімдеуі оның негізделген ойынның алғашқы шығарылғанынан кейін он жылға жуық басталды, ол жоғары анықтық қайта шығарылғанға дейін бір ай бұрын басталды.",Кім Ымырт ханшайымға арналған комикс кітаптарына арналған өнерді кім ұсынды?,Акира Химекава,37,51
"Жапония-эксклюзивті манга сериялары, Акира Химекава жазған және суреттелген ымырт ханшайымы, 2016 жылдың 8 ақпанында шығарылды. Сериялар тек Shogakukan компаниясының Mangaone Mobile қосымшасы арқылы қол жетімді.Манга бейімдеуі оның негізделген ойынның алғашқы шығарылғанынан кейін он жылға жуық басталды, ол жоғары анықтық қайта шығарылғанға дейін бір ай бұрын басталды.",Ымыртшы ханшайым Манга қай елде қол жетімді болды?,Жапония,0,7
